Labels	quencher 0.0 mM	
Type	Time Scan	
Comment		
start(nm)	0.00	
stop(nm)	999.02340	
step(nm)	0.976563	
fixed/offset(nm)	 	
Xaxis	Time	
Yaxis	Counts	
919.92190	2.700E+1	
920.89840	2.100E+1	
921.8750	2.300E+1	
922.85160	2.000E+1	
923.82810	2.800E+1	
924.80470	2.600E+1	
925.78130	1.700E+1	
926.75780	2.300E+1	
927.73440	2.300E+1	
928.71090	1.900E+1	
929.68750	2.300E+1	
930.66410	2.100E+1	
931.64060	2.000E+1	
932.61720	1.600E+1	
933.59380	1.600E+1	
934.57030	1.800E+1	
935.54690	2.100E+1	
936.52340	1.700E+1	
937.50	1.300E+1	
938.47660	2.300E+1	
939.45310	1.400E+1	
940.42970	2.700E+1	
941.40630	1.800E+1	
942.38280	1.800E+1	
943.35940	2.100E+1	
944.33590	2.000E+1	
945.31250	1.600E+1	
946.28910	1.800E+1	
947.26560	2.000E+1	
948.24220	2.300E+1	
949.21880	1.000E+1	
950.19530	2.300E+1	
951.17190	2.100E+1	
952.14840	1.900E+1	
953.1250	1.200E+1	
954.10160	1.300E+1	
955.07810	3.100E+1	
956.05470	2.500E+1	
957.03130	1.700E+1	
958.00780	1.900E+1	
958.98440	2.600E+1	
959.96090	2.000E+1	
960.93750	1.800E+1	
961.91410	1.600E+1	
962.89060	1.700E+1	
963.86720	2.000E+1	
964.84380	1.600E+1	
965.82030	1.700E+1	
966.79690	1.900E+1	
967.77340	1.800E+1	
968.750	2.500E+1	
969.72660	2.100E+1	
970.70310	1.600E+1	
971.67970	2.100E+1	
972.65630	1.100E+1	
973.63280	1.400E+1	
974.60940	1.600E+1	
975.58590	1.600E+1	
976.56250	1.400E+1	
977.53910	1.500E+1	
978.51560	1.800E+1	
979.49220	1.700E+1	
980.46880	1.100E+1	
981.44530	1.300E+1	
982.42190	1.500E+1	
983.39840	1.500E+1	
984.3750	2.100E+1	
985.35160	2.900E+1	
986.32810	1.600E+1	
987.30470	1.800E+1	
988.28130	1.300E+1	
989.25780	1.900E+1	
990.23440	1.600E+1	
991.21090	1.800E+1	
992.18750	1.100E+1	
993.16410	2.100E+1	
994.14060	1.000E+1	
995.11720	1.300E+1	
996.09380	2.800E+1	
997.07030	1.800E+1	
998.04690	1.700E+1	
999.02340	1.400E+1	
