Data size:	256 x 256
Surface Size:	3.0000 x 3.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	MilliVolt

X		Y		Z
0.0000	?m	0.0234	?m	11.596679688	mV
0.0117	?m	0.0234	?m	18.005371094	mV
0.0234	?m	0.0234	?m	16.784667969	mV
0.0352	?m	0.0234	?m	19.836425781	mV
0.0469	?m	0.0234	?m	24.719238281	mV
0.0586	?m	0.0234	?m	22.277832031	mV
0.0703	?m	0.0234	?m	18.005371094	mV
0.0820	?m	0.0234	?m	13.427734375	mV
0.0938	?m	0.0234	?m	14.038085938	mV
0.1055	?m	0.0234	?m	15.258789062	mV
0.1172	?m	0.0234	?m	10.070800781	mV
0.1289	?m	0.0234	?m	4.577636719	mV
0.1406	?m	0.0234	?m	1.831054688	mV
0.1523	?m	0.0234	?m	3.967285156	mV
0.1641	?m	0.0234	?m	3.967285156	mV
0.1758	?m	0.0234	?m	3.051757812	mV
0.1875	?m	0.0234	?m	0.000000000	mV
0.1992	?m	0.0234	?m	-0.610351562	mV
0.2109	?m	0.0234	?m	13.732910156	mV
0.2227	?m	0.0234	?m	25.634765625	mV
